Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-05-18,401.7644790283345,402.06317652364294,388.87016698925527,390.1745300292969,117674500,0.0,0
2022-05-19,386.94849816969116,392.4447754954125,385.4449831206161,387.7848815917969,98510700,0.0,0
2022-05-20,391.55858771044626,395.32232829167623,378.90326335199177,387.95416259765625,131432200,0.0,0
2022-05-23,391.14036405476344,396.0193127061059,388.70092011540953,395.2127990722656,76414900,0.0,0
2022-05-24,390.87153482317746,393.4503911765343,385.295615233017,392.1958312988281,91448800,0.0,0
2022-05-25,390.6226242642382,397.73192883616974,390.20444775195887,395.6608581542969,91472900,0.0,0
2022-05-26,396.9552866502971,405.28928143068714,396.73623168080803,403.56671142578125,82168300,0.0,0
2022-05-27,406.15551496459744,413.59338646895515,405.9464267176564,413.4739074707031,84768700,0.0,0
2022-05-31,411.77125910700835,414.66874649020866,408.26640999327043,411.1539306640625,95937000,0.0,0
2022-06-01,413.38432497428226,414.4496997018534,405.17974538965115,407.82830810546875,86585800,0.0,0
2022-06-02,407.65903603980377,415.64452986799046,405.2892679178831,415.5947570800781,79609600,0.0,0
2022-06-03,410.62621630767,412.25917707329523,407.74866231541205,408.77423095703125,71874300,0.0,0
2022-06-06,412.99598986027354,414.8181054831775,408.7841725605971,410.01885986328125,57508900,0.0,0
2022-06-07,406.3447196081183,414.4297896639024,405.85680649349797,413.95184326171875,59272400,0.0,0
2022-06-08,412.14962939730566,414.031514862704,408.61491053390824,409.4512939453125,64350000,0.0,0
2022-06-09,407.57936321880766,409.9690343792351,399.7133483886719,399.7133483886719,86289800,0.0,0
2022-06-10,393.1815804363486,394.0777033552789,388.0736402962319,388.1234130859375,132893900,0.0,0
2022-06-13,378.2162306703627,380.1677919929226,371.6943846879204,373.3870849609375,170004900,0.0,0
2022-06-14,375.2291259503643,376.3144340743701,368.9960412886886,372.2619323730469,104011800,0.0,0
2022-06-15,375.73691806649134,382.24879730696813,370.5194656131574,377.56903076171875,125666800,0.0,0
2022-06-16,368.91641162743963,369.34455486458364,362.5140445640615,365.072998046875,134473300,0.0,0
2022-06-17,365.510009765625,369.3800048828125,362.1700134277344,365.8599853515625,111113900,1.577,0
2022-06-21,371.8900146484375,376.5299987792969,371.80999755859375,375.07000732421875,76811900,0.0,0
