Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-05-18,44.688450551798354,44.93727265109183,43.09598683828573,43.304996490478516,6142200,0.0,0
2022-05-19,43.45000076293945,44.9900016784668,43.2599983215332,44.869998931884766,5243100,0.205,0
2022-05-20,45.040000915527344,45.209999084472656,43.380001068115234,44.25,2918900,0.0,0
2022-05-23,44.369998931884766,44.400001525878906,43.400001525878906,43.63999938964844,3095300,0.0,0
2022-05-24,43.13999938964844,43.459999084472656,41.439998626708984,42.040000915527344,3898000,0.0,0
2022-05-25,42.2400016784668,42.650001525878906,41.91999816894531,42.56999969482422,3782000,0.0,0
2022-05-26,42.689998626708984,44.25,42.59000015258789,44.029998779296875,3740400,0.0,0
2022-05-27,43.810001373291016,44.0,43.189998626708984,43.86000061035156,2118100,0.0,0
2022-05-31,45.959999084472656,46.290000915527344,45.40999984741211,45.540000915527344,2612600,0.0,0
2022-06-01,46.0,46.209999084472656,44.91999816894531,45.310001373291016,2018500,0.0,0
2022-06-02,45.849998474121094,46.95000076293945,45.70000076293945,46.810001373291016,2389800,0.0,0
2022-06-03,46.0,46.4900016784668,45.77000045776367,45.9900016784668,1852700,0.0,0
2022-06-06,47.04999923706055,47.5,46.31999969482422,46.70000076293945,3576000,0.0,0
2022-06-07,46.72999954223633,47.970001220703125,46.59000015258789,47.83000183105469,2281000,0.0,0
2022-06-08,49.58000183105469,51.58000183105469,49.130001068115234,51.45000076293945,6693500,0.0,0
2022-06-09,50.310001373291016,50.65999984741211,49.150001525878906,49.189998626708984,4504800,0.0,0
2022-06-10,49.599998474121094,49.900001525878906,48.7599983215332,49.45000076293945,2480300,0.0,0
2022-06-13,47.779998779296875,47.939998626708984,46.2400016784668,46.720001220703125,2970400,0.0,0
2022-06-14,47.599998474121094,48.290000915527344,47.18000030517578,47.849998474121094,3266800,0.0,0
2022-06-15,48.08000183105469,48.93000030517578,47.79999923706055,48.689998626708984,2875400,0.0,0
2022-06-16,46.4900016784668,47.02000045776367,45.7599983215332,46.189998626708984,2716600,0.0,0
2022-06-17,47.90999984741211,48.18000030517578,46.47999954223633,46.72999954223633,3264400,0.0,0
